MINE 11644 / 30セル 30 / コース 120

null最良  120セル: VAL 55.4% / CONF 53.1%   30セル: VAL 55.7% / CONF 52.4%
================================================================================================
構成                         セル   MINE 3着内     VAL    CONF   VAL複2  CONF複2  判定
③30+コース混合30%              120      52.7%   56.9%   56.8%   83.4%   83.7%  ○
③30+コース混合50%              120      52.8%   57.0%   56.5%   83.5%   83.2%  ○
③30+コース混合70%              120      52.8%   56.4%   56.2%   84.2%   82.6%  ○
④コース×クラス λ=1              127      53.7%   56.4%   56.1%   84.8%   81.3%  ○
③30+コース λ=1               120      51.9%   55.8%   56.4%   84.2%   82.6%  ○
②30分割(30)                  30      52.6%   55.7%   55.6%   83.6%   82.1%  ×
③30+コース λ=3               120      51.4%   55.3%   55.3%   83.6%   82.9%  ×
③30+コース λ=0.3             120      52.7%   55.4%   54.9%   82.1%   83.5%  ×
④コース×クラス λ=0.3            127      54.4%   55.8%   54.0%   85.1%   81.6%  ○
①6群(6)                      6      50.9%   55.0%   54.4%   83.3%   81.0%  ×
③30+コース λ=8               120      51.0%   54.7%   54.6%   83.8%   82.6%  ×
null120セル λ=1             120      51.6%   55.4%   53.1%   82.8%   81.7%  null
null30セル λ=0.3             30      50.8%   55.3%   52.4%   82.0%   82.4%  null
null30セル λ=1               30      50.7%   55.7%   51.6%   82.1%   82.6%  null
null120セル λ=0.3           120      52.5%   54.9%   51.5%   84.8%   79.7%  null

saved course_on30.json
