対象 9240R

============================================================================================
モデルが主張する期待値の帯 → 実際の回収率（ワイド全ペア・1点100円）
控除率23.3% ⇒ 妙味ゼロなら全帯 76.7% 付近に潰れる
============================================================================================
       主張EV帯           MINE                    VALIDATE                  CONFIRM          
                  点数   的中   実回収率            点数   的中   実回収率            点数   的中   実回収率      
       0-50円  150165  7.73%    71.9%     18251  6.93%    66.9%     13928  6.62%    68.7%  
      50-70円   80596  5.20%    70.1%      9540  5.16%    60.2%      7438  5.23%    59.6%  
      70-85円   51677  3.88%    70.7%      6381  3.86%    56.3%      4796  3.96%    69.3%  
     85-100円   44891  3.07%    67.2%      5473  3.12%    65.1%      4123  3.25%    57.3%  
    100-120円   50339  2.31%    61.8%      6098  2.44%    59.6%      4451  2.67%    73.5%  
    120-150円   60032  1.71%    58.1%      7049  1.87%    64.4%      5325  1.95%    64.8%  
    150-200円   71302  1.05%    52.8%      8362  0.96%    49.7%      5997  1.40%    52.5%  
    200-300円   82621  0.72%    56.5%      9482  0.62%    40.6%      6479  0.96%    79.7%  
       300円〜  122751  0.33%    49.8%     13102  0.27%    30.4%      7163  0.39%    41.7%  
        【全体】  714374  3.24%    62.0%     83738  3.14%    54.1%     59700  3.40%    63.1%  
