対象 13194R
MINEでROI100%超(n≥120): 74セル / 未知2期とも100%超: 0セル
null(順位乱数×10): MINE通過 平均469.1 / 生き残り 平均4.0 (max8)

─ MINE ROI100%超の上位25 ─
条件                                      券種          nM     的中   MINE  nV    VAL  nC   CONF
1位6倍+×例外×札幌                             単勝1位       178  10.7%   139%   0      —  19    83%
11-14頭×1位6倍+×札幌                         単勝1位       166  10.8%   136%   0      —  13    55%
11-14頭×1位6倍+×ダM                         単勝1位       171   9.9%   134%   1     0%  15   107%
例外×tier6×札幌                             単勝1位       145  17.9%   134%   0      —  16    65%
ダ×例外×札幌                                 単勝1位       210  19.0%   130%   0      —  21    51%
点差小×1位6倍+×中京                            単勝1位       145  11.0%   130%   9    96%   7   131%
点差大×tier6×札幌                            単勝1位       154  22.1%   129%   0      —  22    54%
ダM×例外×札幌                                単勝1位       157  15.3%   124%   0      —  13     0%
11-14頭×tier6×札幌                         単勝1位       138  21.0%   124%   0      —  15    51%
11-14頭×ダM×札幌                            単勝1位       176  19.3%   124%   0      —  20    36%
点差大×ダ×札幌                                単勝1位       212  24.1%   120%   0      —  35    57%
点差大×ダM×札幌                               単勝1位       149  22.8%   120%   0      —  25    36%
1位6倍+×ダS×東京                             単勝1位       136   9.6%   120%   5     0%   3     0%
ダM×札幌                                   単勝1位       191  20.4%   120%   0      —  27    33%
ダ×ダM×札幌                                 単勝1位       191  20.4%   120%   0      —  27    33%
11-14頭×点差小×ダS                           単勝1位       130  21.5%   120%  11   121%   3     0%
点差大×1位6倍+×札幌                            単勝1位       163   8.6%   119%   0      —  19    83%
11-14頭×ダM×tier6                         単勝1位       184  21.2%   117%   3     0%  14   131%
ダ×札幌                                    単勝1位       267  21.3%   117%   0      —  39    60%
点差大×ダS×東京                               単勝1位       303  28.7%   114%  22    51%   9    90%
芝S×東京                                   単勝1位       162  18.5%   114%  13    14%   6   117%
芝×芝S×東京                                 単勝1位       162  18.5%   114%  13    14%   6   117%
11-14頭×例外×札幌                            単勝1位       327  18.3%   114%   0      —  34    72%
11-14頭×ダ×札幌                             単勝1位       243  20.6%   113%   0      —  29    63%
1位6倍+×tier6×東京                          単勝1位       175   6.9%   113%   7     0%   8     0%

saved ev_hunt.json
