WF 2200R（良1623 稍405 重不172）

パターン                                     馬場      n  的中     ROI     dev    conf
------------------------------------------------------------------------------
◎◎◎10倍+×1勝クラス 単勝                         良      25   6  406.8%  328.1%  546.7%
◎◎◎10倍+×1勝クラス 単勝                         稍       5   1  816.0% 1020.0%    0.0%
◎◎◎10倍+×1勝クラス 単勝                         重不      3   1  333.3%    0.0%  333.3%
◎◎◎10倍+×1勝クラス 単勝                         全体     33   8  462.1%  466.5%  455.4%

◎◎◎実用コア(7倍+×11-17頭×1勝×2日+) 単勝            良      43  12  351.2%  321.7%  412.1%
◎◎◎実用コア(7倍+×11-17頭×1勝×2日+) 単勝            稍       8   1  510.0%  582.9%    0.0%
◎◎◎実用コア(7倍+×11-17頭×1勝×2日+) 単勝            重不      4   1  250.0%    0.0%  333.3%
◎◎◎実用コア(7倍+×11-17頭×1勝×2日+) 単勝            全体     55  14  366.9%  362.4%  376.1%

◎◎メイン4場×1勝×2日+ 単勝                        良      28   8  390.4%  375.6%  410.0%
◎◎メイン4場×1勝×2日+ 単勝                        稍       5   1  816.0% 1020.0%    0.0%
◎◎メイン4場×1勝×2日+ 単勝                        重不      4   0    0.0%    0.0%    0.0%
◎◎メイン4場×1勝×2日+ 単勝                        全体     37   9  405.7%  480.5%  307.5%

◎◎中距離×1勝クラス 単勝                           良      27   9  410.0%  396.5%  433.0%
◎◎中距離×1勝クラス 単勝                           稍       7   1  582.9%  816.0%    0.0%
◎◎中距離×1勝クラス 単勝                           重不      5   1  200.0%    0.0%  250.0%
◎◎中距離×1勝クラス 単勝                           全体     39  11  414.1%  470.4%  333.1%

◎三連複 軸10-30倍×市場1-4(6点)                   良      56  10  200.0%  183.5%  232.3%
◎三連複 軸10-30倍×市場1-4(6点)                   稍       5   2  234.3%  105.8%  320.0%
◎三連複 軸10-30倍×市場1-4(6点)                   重不      4   2  336.7%    0.0%  336.7%
◎三連複 軸10-30倍×市場1-4(6点)                   全体     65  14  211.1%  179.5%  258.5%

◎◎芝馬連1600-1800×g12>=0.3                  良     140  24  134.7%  125.5%  147.8%
◎◎芝馬連1600-1800×g12>=0.3                  稍      27   5  122.6%  214.2%   49.3%
◎◎芝馬連1600-1800×g12>=0.3                  重不      5   3  446.0%  680.0%   95.0%
◎◎芝馬連1600-1800×g12>=0.3                  全体    172  32  141.9%  153.6%  126.7%

◎◎芝×10頭以下×g12 0.2-0.6 馬連                 良      76  19  175.1%  138.5%  237.9%
◎◎芝×10頭以下×g12 0.2-0.6 馬連                 稍       7   2  101.4%  116.7%   90.0%
◎◎芝×10頭以下×g12 0.2-0.6 馬連                 重不      2   1   95.0%    0.0%   95.0%
◎◎芝×10頭以下×g12 0.2-0.6 馬連                 全体     85  22  167.2%  137.3%  212.1%

◎上位平坦×12頭以下×ダ 馬連                         良      46   6  134.8%  252.6%   17.0%
◎上位平坦×12頭以下×ダ 馬連                         稍       9   1   50.0%    0.0%   90.0%
◎上位平坦×12頭以下×ダ 馬連                         重不     12   3  421.7%    0.0%  421.7%
◎上位平坦×12頭以下×ダ 馬連                         全体     67  10  174.8%  215.2%  147.5%

◎未勝利 g12>=0.6×2位5-10倍 単勝                 良      64  15  158.9%  157.8%  160.8%
◎未勝利 g12>=0.6×2位5-10倍 単勝                 稍      24   3   75.8%  104.5%   51.5%
◎未勝利 g12>=0.6×2位5-10倍 単勝                 重不     10   2  100.0%    0.0%  111.1%
◎未勝利 g12>=0.6×2位5-10倍 単勝                 全体     98  20  132.6%  143.5%  120.2%

