[ids] 対象 5966R (取得済 24R)
[ids] 200/5966 ok=200 ng=0 0.22s/R 残り21分
[ids] 400/5966 ok=400 ng=0 0.21s/R 残り19分
[ids] 600/5966 ok=600 ng=0 0.21s/R 残り19分
[ids] 800/5966 ok=800 ng=0 0.21s/R 残り18分
[ids] 1000/5966 ok=1000 ng=0 0.21s/R 残り18分
[ids] 1200/5966 ok=1200 ng=0 0.21s/R 残り17分
[ids] 1400/5966 ok=1400 ng=0 0.21s/R 残り16分
[ids] 1600/5966 ok=1600 ng=0 0.22s/R 残り16分
[ids] 1800/5966 ok=1800 ng=0 0.22s/R 残り15分
[ids] 2000/5966 ok=2000 ng=0 0.22s/R 残り14分
[ids] 2200/5966 ok=2200 ng=0 0.22s/R 残り14分
[ids] 2400/5966 ok=2400 ng=0 0.22s/R 残り13分
[ids] 2600/5966 ok=2600 ng=0 0.22s/R 残り12分
[ids] 2800/5966 ok=2800 ng=0 0.22s/R 残り12分
[ids] 3000/5966 ok=3000 ng=0 0.22s/R 残り11分
[ids] 3200/5966 ok=3200 ng=0 0.22s/R 残り10分
[ids] 3400/5966 ok=3400 ng=0 0.22s/R 残り10分
[ids] 3600/5966 ok=3600 ng=0 0.22s/R 残り9分
[ids] 3800/5966 ok=3800 ng=0 0.22s/R 残り8分
[ids] 4000/5966 ok=4000 ng=0 0.22s/R 残り7分
[ids] 4200/5966 ok=4200 ng=0 0.22s/R 残り7分
[ids] 4400/5966 ok=4400 ng=0 0.22s/R 残り6分
[ids] 4600/5966 ok=4600 ng=0 0.22s/R 残り5分
[ids] 4800/5966 ok=4800 ng=0 0.22s/R 残り4分
[ids] 5000/5966 ok=5000 ng=0 0.23s/R 残り4分
[ids] 5200/5966 ok=5200 ng=0 0.23s/R 残り3分
[ids] 5400/5966 ok=5400 ng=0 0.23s/R 残り2分
[ids] 5600/5966 ok=5600 ng=0 0.23s/R 残り1分
[ids] 5800/5966 ok=5800 ng=0 0.23s/R 残り1分
[ids] 完了 ok=5966 ng=0 総計5990R
