
=== M1 / place ===
train_races      n       Δα       α専       α汎    単ROI専    単ROI汎    複ROI専    複ROI汎
30-60          784   0.0458   0.0144  -0.0315     71.2     70.1     77.0     79.3
60-100        1166  -0.0139   0.0176   0.0316     87.8     79.3     83.9     81.6
100-150        858  -0.0277   0.0121   0.0398     76.0     80.5     85.3     80.7
150-220        422   0.0361   0.0529   0.0168     72.5     68.9     85.0     80.9
220-1000000000   155   0.0216   0.1617   0.1401     86.7     76.6     89.2     83.2

=== M1 / win ===
train_races      n       Δα       α専       α汎    単ROI専    単ROI汎    複ROI専    複ROI汎
30-60          784   0.0721  -0.0791  -0.1513     68.7     69.2     69.6     76.4
60-100        1166  -0.0569  -0.0574  -0.0005     82.8     83.0     81.2     84.1
100-150        858   0.0275  -0.1090  -0.1365     77.5     77.6     86.3     80.0
150-220        422   0.1262  -0.2224  -0.3486     67.3     75.6     78.2     86.8
220-1000000000   155   0.0422   0.0503   0.0081     71.1    104.1     84.1     90.3
