M1/M2: targets=28 folds=28
[202403] done (0s)
[202404] done (1s)
[202407] done (1s)
[202408] done (1s)
[202409] done (3s)
[202410] done (3s)
[202411] done (6s)
[202412] done (9s)
[202501] done (11s)
[202502] done (13s)
[202503] done (16s)
[202504] done (22s)
[202505] done (24s)
[202506] done (31s)
[202507] done (35s)
[202508] done (38s)
[202509] done (42s)
[202510] done (46s)
[202511] done (50s)
[202512] done (55s)
[202601] done (64s)
[202602] done (75s)
[202603] done (83s)
[202604] done (93s)
[202605] done (98s)
[202606] done (105s)
[202607] done (112s)
[202608] done (117s)
M1/M2 done (1.9min) fallback rows={('M1', 'place'): 611, ('M2', 'place'): 1049, ('M1', 'win'): 611, ('M2', 'win'): 1049}
