データ: 全8002R (MINE 6452 / VAL 874 / CONF 676)
土台の学習おわり（全体1本 + 6群）
対象コース: 64（MINE 40R以上）
  [1/64] 中京ダ1200 done
  [2/64] 中京ダ1400 done
  [3/64] 中京ダ1800 done
  [4/64] 中京ダ1900 done
  [5/64] 中京芝1200 done
  [6/64] 中京芝1400 done
  [7/64] 中京芝1600 done
  [8/64] 中京芝2000 done
  [9/64] 中京芝2200 done
  [10/64] 中山ダ1200 done
  [11/64] 中山ダ1800 done
  [12/64] 中山芝1200 done
  [13/64] 中山芝1600 done
  [14/64] 中山芝1800 done
  [15/64] 中山芝2000 done
  [16/64] 中山芝2200 done
  [17/64] 京都ダ1200 done
  [18/64] 京都ダ1400 done
  [19/64] 京都ダ1800 done
  [20/64] 京都ダ1900 done
  [21/64] 京都芝1200 done
  [22/64] 京都芝1400 done
  [23/64] 京都芝1600 done
  [24/64] 京都芝1800 done
  [25/64] 京都芝2000 done
  [26/64] 函館ダ1700 done
  [27/64] 函館芝1200 done
  [28/64] 小倉ダ1000 done
  [29/64] 小倉ダ1700 done
  [30/64] 小倉芝1200 done
  [31/64] 小倉芝1800 done
  [32/64] 小倉芝2000 done
  [33/64] 新潟ダ1200 done
  [34/64] 新潟ダ1800 done
  [35/64] 新潟芝1000 done
  [36/64] 新潟芝1400 done
  [37/64] 新潟芝1600 done
  [38/64] 新潟芝1800 done
  [39/64] 新潟芝2000 done
  [40/64] 札幌ダ1000 done
  [41/64] 札幌ダ1700 done
  [42/64] 札幌芝1200 done
  [43/64] 札幌芝1500 done
  [44/64] 札幌芝1800 done
  [45/64] 札幌芝2000 done
  [46/64] 東京ダ1400 done
  [47/64] 東京ダ1600 done
  [48/64] 東京ダ2100 done
  [49/64] 東京芝1400 done
  [50/64] 東京芝1600 done
  [51/64] 東京芝1800 done
  [52/64] 東京芝2000 done
  [53/64] 東京芝2400 done
  [54/64] 福島ダ1150 done
  [55/64] 福島ダ1700 done
  [56/64] 福島芝1200 done
  [57/64] 福島芝1800 done
  [58/64] 福島芝2000 done
  [59/64] 阪神ダ1200 done
  [60/64] 阪神ダ1400 done
  [61/64] 阪神ダ1800 done
  [62/64] 阪神芝1600 done
  [63/64] 阪神芝1800 done
  [64/64] 阪神芝2000 done
saved course_sweep50_result.json
