[20240107] 24レース
  202[20240107] +7R (累計31R)
[20240108] +24R (累計55R)
curl: (7) Failed to connect to 127.0.0.1 port 36917 after 0 ms: Couldn't connect to server
11R 14頭 OK (4件目)
  202406010212 中山12R 16頭 OK (5件目)
  202408010201 京都1R 16頭 OK (6件目)
  202408010202 京都2R 15頭 OK (7件目)
  202408010203 京都3R 16頭 OK (8件目)
  202408010204 京都4R 16頭 OK (9件目)
  202408010205 京都5R 18頭 OK (10件目)
  202408010206 京都6R 9頭 OK (11件目)
  202408010207 京都7R 13頭 OK (12件目)
  202408010208 京都8R 16頭 OK (13件目)
  202408010209 京都9R 12頭 OK (14件目)
  202408010210 京都10R 13頭 OK (15件目)
  202408010211 京都11R 15頭 OK (16件目)
  202408010212 京都12R 12頭 OK (17件目)
[20240113] 36レース
  202406010401 中山1R 16頭 OK (18件目)
  202406010402 中山2R 16頭 OK (19件目)
  202406010403 中山3R 16頭 OK (20件目)
  202406010404 中山4R 16頭 OK (21件目)
  202406010405 中山5R 16頭 OK (22件目)
  202406010406 中山6R 17頭 OK (23件目)
  202406010407 中山7R 16頭 OK (24件目)
  202406010408 中山8R 12頭 OK (25件目)
  202406010409 中山9R 12頭 OK (26件目)
  202406010410 中山10R 16頭 OK (27件目)
  202406010411 中山11R 16頭 OK (28件目)
  202406010412 中山12R 15頭 OK (29件目)
  202408010401 京都1R 16頭 OK (30件目)
  202408010402 京都2R 14頭 OK (31件目)
  202408010403 京都3R 14頭 OK (32件目)
  202408010404 京都4R 16頭 OK (33件目)
  202408010405 京都5R 18頭 OK (34件目)
  202408010406 京都6R 13頭 OK (35件目)
  202408010407 京都7R 15頭 OK (36件目)
  202408010408 京都8R 16頭 OK (37件目)
  202408010409 京都9R 10頭 OK (38件目)
  202408010410 京都10R 9頭 OK (39件目)
  202408010411 京都11R 17頭 OK (40件目)
  202408010412 京都12R 18頭 OK (41件目)
  202410010101 小倉1R 14頭 OK (42件目)
  202410010102 小倉2R 12頭 OK (43件目)
  202410010103 小倉3R 12頭 OK (44件目)
  202410010104 小倉4R 12頭 OK (45件目)
  202410010105 小倉5R 12頭 OK (46件目)
  202410010106 小倉6R 16頭 OK (47件目)
  202410010107 小倉7R 16頭 OK (48件目)
  202410010108 小倉8R 16頭 OK (49件目)
  202410010109 小倉9R 16頭 OK (50件目)
  202410010110 小倉10R 11頭 OK (51件目)
  202410010111 小倉11R 14頭 OK (52件目)
  202410010112 小倉12R 18頭 OK (53件目)
[20240114] 36レース
  202406010501 中山1R 16頭 OK (54件目)
  202406010502 中山2R 16頭 OK (55件目)
  202406010503 中山3R 16頭 OK (56件目)
  202406010504 中山4R 16頭 OK (57件目)
  202406010505 中山5R 16頭 OK (58件目)
  202406010506 中山6R 16頭 OK (59件目)
  202406010507 中山7R 15頭 OK (60件目)
  202406010508 中山8R 16頭 OK (61件目)
  202406010509 中山9R 14頭 OK (62件目)
  202406010510 中山10R 14頭 OK (63件目)
  202406010511 中山11R 15頭 OK (64件目)
  202406010512 中山12R 16頭 OK (65件目)
  202408010501 京都1R 12頭 OK (66件目)
  202408010502 京都2R 13頭 OK (67件目)
  202408010503 京都3R 16頭 OK (68件目)
  202408010504 京都4R 11頭 OK (69件目)
  202408010505 京都5R 18頭 OK (70件目)
  202408010506 京都6R 18頭 OK (71件目)
  202408010507 京都7R 15頭 OK (72件目)
  202408010508 京都8R 13頭 OK (73件目)
  202408010509 京都9R 11頭 OK (74件目)
  202408010510 京都10R 13頭 OK (75件目)
  202408010511 京都11R 14頭 OK (76件目)
  202408010512 京都12R 10頭 OK (77件目)
  202410010201 小倉1R 12頭 OK (78件目)
  202410010202 小倉2R 18頭 OK (79件目)
  202410010203 小倉3R 14頭 OK (80件目)
  202410010204 小倉4R 12頭 OK (81件目)
  202410010205 小倉5R 14頭 OK (82件目)
  202410010206 小倉6R 18頭 OK (83件目)
  202410010207 小倉7R 16頭 OK (84件目)
  202410010208 小倉8R 12頭 OK (85件目)
  202410010209 小倉9R 13頭 OK (86件目)
  202410010210 小倉10R 14頭 OK (87件目)
  202410010211 小倉11R 16頭 OK (88件目)
  202410010212 小倉12R 17頭 OK (89件目)
[20240120] 36レース
  202406010601 中山1R 16頭 OK (90件目)
  202406010602 中山2R 16頭 OK (91件目)
  202406010603 中山3R 16頭 OK (92件目)
  202406010604 中山4R 16頭 OK (93件目)
  202406010605 中山5R 16頭 OK (94件目)
  202406010606 中山6R 17頭 OK (95件目)
  202406010607 中山7R 10頭 OK (96件目)
  202406010608 中山8R 15頭 OK (97件目)
  202406010609 中山9R 16頭 OK (98件目)
  202406010610 中山10R 10頭 OK (99件目)
  202406010611 中山11R 11頭 OK (100件目)
  202406010612 中山12R 17頭 OK (101件目)
  202408010601 京都1R 14頭 OK (102件目)
  202408010602 京都2R 12頭 OK (103件目)
  202408010603 京都3R 16頭 OK (104件目)
  202408010604 京都4R 7頭 OK (105件目)
  202408010605 京都5R 13頭 OK (106件目)
  202408010606 京都6R 10頭 OK (107件目)
  202408010607 京都7R 10頭 OK (108件目)
  202408010608 京都8R 13頭 OK (109件目)
  202408010609 京都9R 8頭 OK (110件目)
  202408010610 京都10R 11頭 OK (111件目)
  202408010611 京都11R 16頭 OK (112件目)
  202408010612 京都12R 12頭 OK (113件目)
  202410010301 小倉1R 13頭 OK (114件目)
  202410010302 小倉2R 16頭 OK (115件目)
  202410010303 小倉3R 13頭 OK (116件目)
  202410010304 小倉4R 12頭 OK (117件目)
  202410010305 小倉5R 12頭 OK (118件目)
  202410010306 小倉6R 11頭 OK (119件目)
  202410010307 小倉7R 15頭 OK (120件目)
  202410010308 小倉8R 13頭 OK (121件目)
  202410010309 小倉9R 7頭 OK (122件目)
  202410010310 小倉10R 17頭 OK (123件目)
  202410010311 小倉11R 13頭 OK (124件目)
  202410010312 小倉12R 17頭 OK (125件目)
[20240121] 36レース
  202406010701 中山1R 16頭 OK (126件目)
  202406010702 中山2R 15頭 OK (127件目)
  202406010703 中山3R 16頭 OK (128件目)
  202406010704 中山4R 16頭 OK (129件目)
  202406010705 中山5R 17頭 OK (130件目)
  202406010706 中山6R 17頭 OK (131件目)
  202406010707 中山7R 14頭 OK (132件目)
  202406010708 中山8R 15頭 OK (133件目)
  202406010709 中山9R 11頭 OK (134件目)
  202406010710 中山10R 16頭 OK (135件目)
  202406010711 中山11R 12頭 OK (136件目)
  202406010712 中山12R 12頭 OK (137件目)
  202408010701 京都1R 10頭 OK (138件目)
  202408010702 京都2R 16頭 OK (139件目)
  202408010703 京都3R 12頭 OK (140件目)
  202408010704 京都4R 8頭 OK (141件目)
  202408010705 京都5R 17頭 OK (142件目)
  202408010706 京都6R 6頭 OK (143件目)
  202408010707 京都7R 17頭 OK (144件目)
  202408010708 京都8R 16頭 OK (145件目)
  202408010709 京都9R 10頭 OK (146件目)
  202408010710 京都10R 16頭 OK (147件目)
  202408010711 京都11R 16頭 OK (148件目)
  202408010712 京都12R 11頭 OK (149件目)
  202410010401 小倉1R 16頭 OK (150件目)
  202410010402 小倉2R 14頭 OK (151件目)
  202410010403 小倉3R 14頭 OK (152件目)
  202410010404 小倉4R 12頭 OK (153件目)
  202410010405 小倉5R 18頭 OK (154件目)
  202410010406 小倉6R 11頭 OK (155件目)
  202410010407 小倉7R 18頭 OK (156件目)
  202410010408 小倉8R 16頭 OK (157件目)
  202410010409 小倉9R 15頭 OK (158件目)
