

######## v3place ########
races=6890 / α推定=6723(8頭以上) / 5-7頭=167

### α_place fold表
| fold | 分割 | 学習R | α(実複勝オッズ) | α(単勝Harville) | α(両方入り) |
|---|---|---:|---|---|---|
| 202404 | MINE | 318 | +0.0871 (0.0742, z+1.17) | +0.0766 (0.0721, z+1.06) | +0.0712 (0.0745, z+0.96) |
| 202407 | MINE | 469 | +0.0575 (0.0605, z+0.95) | +0.0538 (0.0588, z+0.92) | +0.0371 (0.0606, z+0.61) |
| 202408 | MINE | 629 | -0.0195 (0.0515, z-0.38) | -0.0079 (0.0499, z-0.16) | -0.0378 (0.0518, z-0.73) |
| 202409 | MINE | 877 | -0.0240 (0.0451, z-0.53) | +0.0107 (0.0425, z+0.25) | -0.0387 (0.0451, z-0.86) |
| 202410 | MINE | 1077 | -0.0085 (0.0411, z-0.21) | +0.0253 (0.0387, z+0.65) | -0.0268 (0.0411, z-0.65) |
| 202411 | MINE | 1300 | -0.0030 (0.0368, z-0.08) | +0.0221 (0.0348, z+0.63) | -0.0263 (0.0369, z-0.71) |
| 202412 | MINE | 1542 | -0.0139 (0.0334, z-0.41) | +0.0096 (0.0316, z+0.30) | -0.0371 (0.0335, z-1.11) |
| 202501 | MINE | 1748 | -0.0036 (0.0315, z-0.11) | +0.0228 (0.0296, z+0.77) | -0.0281 (0.0314, z-0.90) |
| 202502 | MINE | 1954 | +0.0081 (0.0299, z+0.27) | +0.0319 (0.0282, z+1.13) | -0.0180 (0.0298, z-0.60) |
| 202503 | MINE | 2207 | -0.0089 (0.0284, z-0.31) | +0.0155 (0.0268, z+0.58) | -0.0364 (0.0284, z-1.28) |
| 202504 | MINE | 2533 | -0.0081 (0.0265, z-0.31) | +0.0115 (0.0251, z+0.46) | -0.0417 (0.0265, z-1.58) |
| 202505 | MINE | 2784 | -0.0089 (0.0251, z-0.36) | +0.0054 (0.0239, z+0.22) | -0.0468 (0.0251, z-1.86) |
| 202506 | MINE | 3074 | -0.0090 (0.0240, z-0.38) | +0.0027 (0.0228, z+0.12) | -0.0480 (0.0240, z-2.00) |
| 202507 | MINE | 3320 | -0.0018 (0.0232, z-0.08) | +0.0103 (0.0221, z+0.47) | -0.0413 (0.0233, z-1.77) |
| 202508 | MINE | 3560 | +0.0029 (0.0225, z+0.13) | +0.0158 (0.0214, z+0.74) | -0.0362 (0.0226, z-1.60) |
| 202509 | MINE | 3854 | +0.0069 (0.0217, z+0.32) | +0.0203 (0.0206, z+0.99) | -0.0326 (0.0218, z-1.50) |
| 202510 | MINE | 4041 | +0.0102 (0.0212, z+0.48) | +0.0228 (0.0201, z+1.13) | -0.0302 (0.0213, z-1.42) |
| 202511 | MINE | 4244 | +0.0078 (0.0207, z+0.37) | +0.0217 (0.0197, z+1.10) | -0.0330 (0.0208, z-1.59) |
| 202512 | MINE | 4495 | +0.0042 (0.0202, z+0.21) | +0.0180 (0.0192, z+0.94) | -0.0371 (0.0203, z-1.83) |
| 202601 | MINE | 4713 | +0.0081 (0.0197, z+0.41) | +0.0195 (0.0187, z+1.04) | -0.0340 (0.0198, z-1.72) |
| 202602 | MINE | 4950 | +0.0147 (0.0192, z+0.76) | +0.0244 (0.0183, z+1.34) | -0.0286 (0.0194, z-1.48) |
| 202603 | VALIDATE | 5200 | +0.0131 (0.0188, z+0.70) | +0.0240 (0.0178, z+1.35) | -0.0305 (0.0189, z-1.61) |
| 202604 | VALIDATE | 5487 | +0.0213 (0.0184, z+1.16) | +0.0283 (0.0175, z+1.61) | -0.0253 (0.0185, z-1.36) |
| 202605 | VALIDATE | 5739 | +0.0204 (0.0180, z+1.13) | +0.0277 (0.0172, z+1.61) | -0.0268 (0.0182, z-1.47) |
| 202606 | CONFIRM | 6060 | +0.0298 (0.0175, z+1.70) | +0.0351 (0.0167, z+2.10) | -0.0185 (0.0177, z-1.04) |
| 202607 | CONFIRM | 6286 | +0.0273 (0.0173, z+1.58) | +0.0326 (0.0165, z+1.98) | -0.0211 (0.0175, z-1.21) |
| 202608 | CONFIRM | 6541 | +0.0267 (0.0170, z+1.58) | +0.0315 (0.0162, z+1.95) | -0.0224 (0.0171, z-1.31) |
- 実複勝オッズ: α>0 16/27 fold・最長連続13・最終fold +0.0267
- 単勝Harville: α>0 26/27 fold・最長連続24・最終fold +0.0315
- 両市場入り: α>0 2/27 fold・最長連続2・最終fold -0.0224
- ヌル検査(202608): 実データ +0.0267 / ヌル8本 平均-0.0042 最大+0.0159 / 実データ以上 0/8

### OOS対数損失(1頭あたり)
| 分割 | 市場側 | 頭数 | 市場のみ | +モデル | 改善 |
|---|---|---:|---|---|---|
| MINE | 実複勝 | 68842 | 0.403184 | 0.403222 | -0.000038 |
| MINE | Harville | 68842 | 0.400622 | 0.400644 | -0.000022 |
| VALIDATE | 実複勝 | 12267 | 0.388781 | 0.388695 | +0.000086 |
| VALIDATE | Harville | 12267 | 0.385261 | 0.385159 | +0.000102 |
| CONFIRM | 実複勝 | 9065 | 0.417047 | 0.417017 | +0.000030 |
| CONFIRM | Harville | 9065 | 0.413823 | 0.413790 | +0.000033 |

### 控除率（実オッズ実測）
| 券種 | Σ(1/odds) | 実測控除率 | EV=1に必要なエッジ |
|---|---:|---:|---:|
| 複勝 | 4.4695 | 32.9% | ×1.490 |
| ワイド | 4.1018 | 26.9% | ×1.367 |
| 三連複 | 1.3336 | 25.0% | ×1.334 |
| 馬連 | 1.2944 | 22.7% | ×1.294 |

下限→実払戻の平均倍率(MINE期・的中組): 複勝 ×1.186 (n=14929) / ワイド ×1.049 (n=15068)

### 券種別 成績（全ルール）
| 分割 | 券種 | 確率 | 較正 | オッズ | ルール | n | 的中 | ROI% | ROI(下限精算)% | 平均EV | 実測的中率 | モデル平均確率 | 市場implied |
|---|---|---|---|---|---|---:|---:|---:|---:|---:|---:|---:|---:|
| MINE | 複勝 | model | raw | floor | ev1.1 | 14284 | 711 | 58.5 | 47.1 | 1.74 | 4.9780% | 0.143644 | 0.094887 |
| MINE | 複勝 | model | raw | floor | ev1.2 | 11794 | 514 | 59.0 | 47.1 | 1.86 | 4.3580% | 0.138501 | 0.083991 |
| MINE | 複勝 | model | raw | floor | ev1.3 | 9873 | 388 | 60.6 | 47.9 | 1.98 | 3.9300% | 0.134884 | 0.075843 |
| MINE | 複勝 | model | raw | floor | top1 | 4800 | 229 | 64.3 | 50.4 | 2.18 | 4.7710% | 0.148275 | 0.083555 |
| MINE | 複勝 | model | raw | floor | top3 | 12320 | 681 | 60.1 | 48.1 | 1.78 | 5.5280% | 0.151177 | 0.101505 |
| MINE | 複勝 | model | raw | floor | top5 | 16117 | 944 | 59.1 | 47.3 | 1.65 | 5.8570% | 0.151506 | 0.107863 |
| MINE | 複勝 | model | raw | floor | top10 | 17347 | 1046 | 59.9 | 48.2 | 1.62 | 6.0300% | 0.151477 | 0.109825 |
| MINE | 複勝 | model | raw | floor | top20 | 17348 | 1046 | 59.9 | 48.2 | 1.62 | 6.0300% | 0.151486 | 0.109835 |
| MINE | 複勝 | model | raw | exp | ev1.1 | 21982 | 1597 | 61.9 | 49.8 | 1.85 | 7.2650% | 0.158582 | 0.128133 |
| MINE | 複勝 | model | raw | exp | ev1.2 | 18765 | 1174 | 61.1 | 49.0 | 1.97 | 6.2560% | 0.150838 | 0.112609 |
| MINE | 複勝 | model | raw | exp | ev1.3 | 16068 | 874 | 59.3 | 47.8 | 2.09 | 5.4390% | 0.145608 | 0.101122 |
| MINE | 複勝 | model | raw | exp | top1 | 4981 | 260 | 65.3 | 50.9 | 2.68 | 5.2200% | 0.151618 | 0.090254 |
| MINE | 複勝 | model | raw | exp | top3 | 14197 | 996 | 63.2 | 50.2 | 2.08 | 7.0160% | 0.162239 | 0.122451 |
| MINE | 複勝 | model | raw | exp | top5 | 21105 | 1678 | 62.2 | 49.7 | 1.85 | 7.9510% | 0.166888 | 0.139072 |
| MINE | 複勝 | model | raw | exp | top10 | 26075 | 2340 | 64.0 | 51.5 | 1.72 | 8.9740% | 0.170726 | 0.151148 |
| MINE | 複勝 | model | raw | exp | top20 | 26112 | 2344 | 64.0 | 51.6 | 1.72 | 8.9770% | 0.170736 | 0.151225 |
| MINE | 複勝 | model | iso | floor | ev1.1 | 13358 | 723 | 62.3 | 50.2 | 1.76 | 5.4120% | 0.153550 | 0.100675 |
| MINE | 複勝 | model | iso | floor | ev1.2 | 11125 | 531 | 62.3 | 50.1 | 1.89 | 4.7730% | 0.148700 | 0.089845 |
| MINE | 複勝 | model | iso | floor | ev1.3 | 9256 | 388 | 62.2 | 49.1 | 2.01 | 4.1920% | 0.145438 | 0.081307 |
| MINE | 複勝 | model | iso | floor | top1 | 4796 | 245 | 66.2 | 52.2 | 2.19 | 5.1080% | 0.156612 | 0.088702 |
| MINE | 複勝 | model | iso | floor | top3 | 12137 | 731 | 62.4 | 50.0 | 1.77 | 6.0230% | 0.162069 | 0.109733 |
| MINE | 複勝 | model | iso | floor | top5 | 15464 | 1014 | 63.0 | 50.8 | 1.66 | 6.5570% | 0.163144 | 0.116592 |
| MINE | 複勝 | model | iso | floor | top10 | 16356 | 1087 | 63.0 | 50.9 | 1.63 | 6.6460% | 0.163148 | 0.118256 |
| MINE | 複勝 | model | iso | floor | top20 | 16357 | 1087 | 63.0 | 50.9 | 1.63 | 6.6450% | 0.163157 | 0.118267 |
| MINE | 複勝 | model | iso | exp | ev1.1 | 20720 | 1628 | 64.1 | 51.6 | 1.86 | 7.8570% | 0.169601 | 0.136683 |
| MINE | 複勝 | model | iso | exp | ev1.2 | 17700 | 1191 | 63.1 | 50.8 | 1.98 | 6.7290% | 0.162218 | 0.121046 |
| MINE | 複勝 | model | iso | exp | ev1.3 | 15112 | 912 | 63.3 | 51.1 | 2.11 | 6.0350% | 0.156457 | 0.108366 |
| MINE | 複勝 | model | iso | exp | top1 | 4983 | 277 | 66.9 | 52.3 | 2.69 | 5.5590% | 0.159666 | 0.095196 |
| MINE | 複勝 | model | iso | exp | top3 | 14142 | 1077 | 66.0 | 52.3 | 2.07 | 7.6160% | 0.173272 | 0.131950 |
| MINE | 複勝 | model | iso | exp | top5 | 20693 | 1810 | 65.2 | 52.1 | 1.84 | 8.7470% | 0.179229 | 0.150698 |
| MINE | 複勝 | model | iso | exp | top10 | 24733 | 2388 | 66.0 | 53.1 | 1.73 | 9.6550% | 0.182711 | 0.161829 |
| MINE | 複勝 | model | iso | exp | top20 | 24751 | 2391 | 66.0 | 53.1 | 1.73 | 9.6600% | 0.182714 | 0.161869 |
| MINE | 複勝 | blend | raw | floor | top1 | 7 | 5 | 80.0 | 78.6 | 1.03 | 71.4290% | 0.937986 | 0.909091 |
| MINE | 複勝 | blend | raw | floor | top3 | 11 | 8 | 82.7 | 80.0 | 1.03 | 72.7270% | 0.938855 | 0.909091 |
| MINE | 複勝 | blend | raw | floor | top5 | 11 | 8 | 82.7 | 80.0 | 1.03 | 72.7270% | 0.938855 | 0.909091 |
| MINE | 複勝 | blend | raw | floor | top10 | 11 | 8 | 82.7 | 80.0 | 1.03 | 72.7270% | 0.938855 | 0.909091 |
| MINE | 複勝 | blend | raw | floor | top20 | 11 | 8 | 82.7 | 80.0 | 1.03 | 72.7270% | 0.938855 | 0.909091 |
| MINE | 複勝 | blend | raw | exp | ev1.1 | 4 | 3 | 82.5 | 82.5 | 1.12 | 75.0000% | 0.959400 | 0.909091 |
