dataset 7699R  (1s)
months 202307..202608 / folds ['202403', '202404', '202407', '202408', '202409', '202410', '202411', '202412', '202501', '202502', '202503', '202504', '202505', '202506', '202507', '202508', '202509', '202510', '202511', '202512', '202601', '202602', '202603', '202604', '202605', '202606', '202607', '202608']
  v3place: 28特徴 / mode=binary_place
  v8place: 50特徴 / mode=binary_place
[202403] 328R train=807R | v3place:1位複勝61.9%(1s) | v8place:1位複勝62.2%(1s)
[202404] 153R train=1135R | v3place:1位複勝60.8%(1s) | v8place:1位複勝56.9%(1s)
[202407] 164R train=1288R | v3place:1位複勝50.0%(1s) | v8place:1位複勝50.0%(2s)
[202408] 257R train=1452R | v3place:1位複勝54.5%(1s) | v8place:1位複勝51.8%(1s)
[202409] 206R train=1709R | v3place:1位複勝60.7%(1s) | v8place:1位複勝60.2%(2s)
[202410] 235R train=1915R | v3place:1位複勝58.7%(1s) | v8place:1位複勝57.0%(3s)
[202411] 249R train=2150R | v3place:1位複勝53.8%(2s) | v8place:1位複勝53.4%(2s)
[202412] 210R train=2399R | v3place:1位複勝56.2%(2s) | v8place:1位複勝57.6%(3s)
[202501] 208R train=2609R | v3place:1位複勝58.2%(2s) | v8place:1位複勝57.7%(4s)
[202502] 257R train=2817R | v3place:1位複勝56.4%(2s) | v8place:1位複勝58.8%(3s)
[202503] 328R train=3074R | v3place:1位複勝56.7%(2s) | v8place:1位複勝57.6%(3s)
[202504] 256R train=3402R | v3place:1位複勝57.0%(2s) | v8place:1位複勝55.5%(3s)
[202505] 298R train=3658R | v3place:1位複勝53.7%(2s) | v8place:1位複勝56.0%(3s)
[202506] 250R train=3956R | v3place:1位複勝60.0%(2s) | v8place:1位複勝60.4%(3s)
[202507] 250R train=4206R | v3place:1位複勝58.0%(3s) | v8place:1位複勝58.8%(5s)
[202508] 311R train=4456R | v3place:1位複勝63.0%(3s) | v8place:1位複勝61.7%(5s)
[202509] 199R train=4767R | v3place:1位複勝58.8%(3s) | v8place:1位複勝60.8%(5s)
[202510] 214R train=4966R | v3place:1位複勝58.9%(3s) | v8place:1位複勝59.8%(8s)
[202511] 255R train=5180R | v3place:1位複勝64.3%(4s) | v8place:1位複勝64.3%(7s)
[202512] 220R train=5435R | v3place:1位複勝52.7%(5s) | v8place:1位複勝53.6%(5s)
[202601] 239R train=5655R | v3place:1位複勝60.3%(3s) | v8place:1位複勝60.7%(8s)
[202602] 255R train=5894R | v3place:1位複勝56.9%(3s) | v8place:1位複勝56.9%(8s)
[202603] 294R train=6149R | v3place:1位複勝61.9%(4s) | v8place:1位複勝64.6%(8s)
[202604] 257R train=6443R | v3place:1位複勝58.0%(4s) | v8place:1位複勝58.8%(7s)
[202605] 323R train=6700R | v3place:1位複勝55.1%(4s) | v8place:1位複勝56.0%(8s)
[202606] 230R train=7023R | v3place:1位複勝58.3%(6s) | v8place:1位複勝58.3%(8s)
[202607] 258R train=7253R | v3place:1位複勝57.4%(5s) | v8place:1位複勝57.0%(8s)
[202608] 188R train=7511R | v3place:1位複勝56.9%(5s) | v8place:1位複勝55.9%(8s)
done (3.5min)
