race_id,券種,組合せ,下限,上限
202601010801,複勝,3,1.4,1.8
202601010801,複勝,10,2.1,3.0
202601010801,複勝,5,3.2,4.9
202601010801,複勝,13,4.1,6.4
202601010801,複勝,1,5.5,8.8
202601010801,ワイド,3-10,3.8,5.9
202601010801,ワイド,3-5,5.4,8.5
202601010801,ワイド,5-10,8.1,13.0
202601010801,ワイド,3-13,7.2,11.5
202601010801,ワイド,10-13,11.4,18.4
202601010801,三連複,3-5-10,28.7,
202601010801,三連複,3-10-13,39.5,
202601010801,三連複,3-5-13,42.1,
202601010801,三連複,1-3-10,55.3,
202601010801,三連複,5-10-13,88.6,
202601010801,三連複,1-3-5,61.4,
202601010801,三連複,1-5-10,96.2,
202601010801,三連複,3-13-1,73.8,
202601010801,三連複,5-13-1,145.0,
202601010801,三連複,10-13-1,132.7,
202601010802,複勝,6,1.3,1.6
202601010802,複勝,3,2.4,3.6
202601010802,複勝,8,3.0,4.7
202601010802,複勝,1,4.4,7.1
202601010802,複勝,7,5.9,9.6
202601010802,ワイド,3-6,3.1,4.8
202601010802,ワイド,6-8,3.9,6.1
202601010802,ワイド,1-6,5.7,9.2
202601010802,ワイド,3-8,7.4,11.9
202601010802,ワイド,1-3,10.2,16.5
202601010802,三連複,3-6-8,19.4,
202601010802,三連複,1-3-6,28.8,
202601010802,三連複,1-6-8,31.2,
202601010802,三連複,3-6-7,44.1,
202601010802,三連複,6-7-8,47.9,
202601010802,三連複,1-3-8,58.3,
202601010802,三連複,1-6-7,66.4,
202601010802,三連複,3-7-8,88.2,
202601010802,三連複,1-3-7,104.5,
202601010802,三連複,1-7-8,112.0,
202601010803,複勝,13,1.5,1.9
202601010803,複勝,8,2.2,3.2
202601010803,複勝,5,2.9,4.4
202601010803,複勝,10,4.8,7.7
202601010803,複勝,1,6.2,10.1
202601010803,ワイド,8-13,4.1,6.4
202601010803,ワイド,5-13,5.2,8.2
202601010803,ワイド,5-8,7.0,11.2
202601010803,ワイド,10-13,9.4,15.1
202601010803,ワイド,8-10,12.1,19.6
202601010803,三連複,5-8-13,24.2,
202601010803,三連複,8-10-13,36.7,
202601010803,三連複,5-10-13,41.3,
202601010803,三連複,1-8-13,52.8,
202601010803,三連複,5-8-10,58.4,
202601010803,三連複,1-5-13,61.9,
202601010803,三連複,1-8-10,88.7,
202601010803,三連複,1-5-8,94.3,
202601010803,三連複,10-13-1,105.6,
202601010803,三連複,5-10-1,118.2,
