race_id,日付,場R,馬番,馬名,最高,5走平均,調教評価,備考
202607020410,08/02,中京10R,1,ロックバンド,71,62,C,
202607020410,08/02,中京10R,2,ドメイン,100,75,B,
202607020410,08/02,中京10R,3,エクストラプッシュ,76,70,B,
202607020410,08/02,中京10R,4,スターシップ,101,70,B,
202607020410,08/02,中京10R,5,オーレアミスト,81,76*,B,
202607020410,08/02,中京10R,6,ロードシュヴァリエ,90,78,B,
202607020410,08/02,中京10R,7,カイラーサ,74,42,B,
202607020410,08/02,中京10R,8,ジーティーパワー,84,76,C,
202607020410,08/02,中京10R,9,アメリカンイズム,80,68*,B,
202607020410,08/02,中京10R,10,エコロスパーダ,85,81,B,
202607020410,08/02,中京10R,11,ブームバップビート,75,69,B,
202607020410,08/02,中京10R,12,エアフォースワン,63,82,B,
202607020410,08/02,中京10R,13,スナークシャラク,77,67*,B,
202607020410,08/02,中京10R,14,ロックウイズユー,71,71*,B,
202601010808,08/16,札幌8R,1,カフジクロミエ,87,81,B,
202601010808,08/16,札幌8R,2,タイセイジェイド,99,88,B,
202601010808,08/16,札幌8R,3,タイセイルビー,82,69*,B,
202601010808,08/16,札幌8R,4,グレイスフルマーチ,95,77,B,
202601010808,08/16,札幌8R,5,ロードアルディート,92,81,B,
202601010808,08/16,札幌8R,6,スパークルレイ,-,-,C,
202601010808,08/16,札幌8R,7,タイキインドラ,92,76,B,
202601010808,08/16,札幌8R,8,ファミーユウルーズ,83,69,C,
202601010808,08/16,札幌8R,9,サマースプラッシュ,87,68,C,
202601010808,08/16,札幌8R,10,ジェネラスキング,84,77,B,
202601010808,08/16,札幌8R,11,カフェブーケット,81,68*,C,
202604020410,08/02,新潟10R,1,チームユートピア,85,70,B,
202604020410,08/02,新潟10R,2,ベルヴィヴァン,56,48*,C,
202604020410,08/02,新潟10R,3,マオノクラッシュ,100,68,C,
202604020410,08/02,新潟10R,4,レディサン,84,66,C,
202604020410,08/02,新潟10R,5,ローズブーケ,64,60*,B,
202604020410,08/02,新潟10R,6,アイアンソリッド,78,69,C,
202604020410,08/02,新潟10R,7,フュルスティン,80,67*,B,
202604020410,08/02,新潟10R,8,ビアフォーナウ,75,71*,C,
202604020410,08/02,新潟10R,9,レゲンデ,75,75*,B,
202604020410,08/02,新潟10R,10,トモジャオーリー,82,71*,B,
202604020410,08/02,新潟10R,11,カンレイスター,78,72,B,
202604020410,08/02,新潟10R,12,セイウンアインス,63,33*,C,
202604020410,08/02,新潟10R,13,ハヌル,87,69,C,
202604020410,08/02,新潟10R,14,ゴールドシャーク,54,63,B,
202601010504,08/08,札幌4R,1,サンウリエル,87,84,C,
202601010504,08/08,札幌4R,2,アセンブリールーム,98,83,B,
202601010504,08/08,札幌4R,3,アッシュバーグ,85,79*,B,
202601010504,08/08,札幌4R,4,ダノンフィオーレ,88,82,B,
202601010504,08/08,札幌4R,5,コスモレッド,94,81,C,
202601010504,08/08,札幌4R,6,ネッタイヤライ,91,85,C,
202601010504,08/08,札幌4R,7,ルーチェフィオーレ,89,77*,B,
202601010504,08/08,札幌4R,8,ブライトフレア,77,68*,C,
202601010504,08/08,札幌4R,9,ペイシャアーサー,77,75*,C,
202601010504,08/08,札幌4R,10,フレッチャアズーラ,88,83,B,
202601010504,08/08,札幌4R,11,バルボアパーク,89,83*,A,
202601010504,08/08,札幌4R,12,スタードメイソン,78,66,C,
202601010504,08/08,札幌4R,13,モルニケ,91,79,B,
202601010504,08/08,札幌4R,14,グロリアスマーチ,95,88,B,
202601010507,08/08,札幌7R,1,シェーンルスカ,59,54*,-,
202601010507,08/08,札幌7R,2,ワイドデコラシオン,84,82,B,
202601010507,08/08,札幌7R,3,グランセレスト,80,73*,C,
202601010507,08/08,札幌7R,4,ロードヴァルカン,93,75,C,
202601010507,08/08,札幌7R,5,ヨドノゴールド,74,69,C,
202601010507,08/08,札幌7R,6,ランドスター,80,70*,B,
202601010507,08/08,札幌7R,7,テーオーナタリー,90,79,B,
202601010507,08/08,札幌7R,8,カップッチョ,78,60,C,
202601010507,08/08,札幌7R,9,ステラノヴァ,82,53,C,
202601010507,08/08,札幌7R,10,グレイトソン,94,77,B,
202601010507,08/08,札幌7R,11,セイルロケット,82,56,B,
202601010507,08/08,札幌7R,12,ランプローグ,-,-,B,
202601010708,08/15,札幌8R,1,フェニーチェドーロ,82,72*,C,
202601010708,08/15,札幌8R,2,カリーン,-,-,B,
202601010708,08/15,札幌8R,3,ザハント,86,79,B,
202601010708,08/15,札幌8R,4,ファンタイムギフト,91,82,C,
202601010708,08/15,札幌8R,5,タイセツナヒ,85,75,C,
202601010708,08/15,札幌8R,6,ビービーバザーク,101,79*,B,
202601010708,08/15,札幌8R,7,ヒロイックヴァース,74,74*,B,
202601010708,08/15,札幌8R,8,ハイライトニング,83,76,B,
202601010708,08/15,札幌8R,9,ロードアマルフィ,88,85,B,
202601010708,08/15,札幌8R,10,ミスティマウンテン,93,84,C,
202601010708,08/15,札幌8R,11,ピースフルワールド,28,26,C,
202604020708,08/15,新潟8R,1,プルメリアクヒオ,79,68,C,
202604020708,08/15,新潟8R,2,インディヴァイン,84,74*,B,
202604020708,08/15,新潟8R,3,ルーナディサングエ,100,76,B,
202604020708,08/15,新潟8R,4,レボルシオン,82,74,B,
202604020708,08/15,新潟8R,5,ヨドノタイヨウ,78,52,C,
202604020708,08/15,新潟8R,6,ベストブラザーズ,85,75*,B,
202604020708,08/15,新潟8R,7,ノーブルアクト,95,72,C,
202604020708,08/15,新潟8R,8,インナーパッション,88,81*,C,
202604020708,08/15,新潟8R,9,ジェイエルモーダル,97,80,B,
202604020708,08/15,新潟8R,10,シュガーハイ,64,65,D,
202604020708,08/15,新潟8R,11,アンシュウマト,84,74,B,
202604020708,08/15,新潟8R,12,グランドスウェル,81,62*,B,
202604020708,08/15,新潟8R,13,スターチスブーケ,65,58*,C,
202604020708,08/15,新潟8R,14,ターフクリスタル,76,42,C,
202604020708,08/15,新潟8R,15,オンサイト,72,61,C,
202607020711,08/15,中京11R,1,スマートティアナ,85,68*,B,
202607020711,08/15,中京11R,2,ミラキュラスアース,78,74*,B,
202607020711,08/15,中京11R,3,プチプランス,88,82*,B,
202607020711,08/15,中京11R,4,イージーライダー,89,78,B,
202607020711,08/15,中京11R,5,メイショウビストロ,93,83,C,
202607020711,08/15,中京11R,6,マルモア,90,82,C,
202607020711,08/15,中京11R,7,レインオンミー,87,79,B,
202607020711,08/15,中京11R,8,ハレアカラフラ,87,71,B,
202607020711,08/15,中京11R,9,サリーチェ,85,74*,B,
202607020711,08/15,中京11R,10,フェルシナ,96,86,B,
202607020711,08/15,中京11R,11,マイリトルヒーロー,92,79*,B,
202607020711,08/15,中京11R,12,ギザキズラヴ,84,73,B,
202607020711,08/15,中京11R,13,ペプチドブッドレア,92,78,C,
202607020711,08/15,中京11R,14,テレプシコーラ,91,78,B,
202607020711,08/15,中京11R,15,ラガークイン,92,84,C,
