# 列: 馬番,馬名,騎手,追切日,コース,馬場,乗り役,タイム,位置,脚色,調教評価
$202604020701 新潟1R
1,ミライノシャチョウ,丸山,08/12,栗坂,良,助手,53.4/14.0/39.4/13.7/25.7/13.1/12.6/12.6,,馬也,B
2,ムーチョピカンテ,江田照,08/12,美坂,重,助手,55.8/14.9/40.9/13.7/27.2/13.2/14.0/14.0,,一杯,D
3,フルーツバスケット,川田,08/12,CW,良,助手,88.8/17.1/71.7/15.3/56.4/15.9/40.5/27.9/12.6/12.6,8,馬也,C
4,コナパームス,戸崎圭,08/12,美坂,重,助手,54.4/15.0/39.4/13.9/25.5/12.8/12.7/12.7,1,仕掛,B
5,スターマイン,岩田康,08/12,美坂,重,助手,56.2/15.3/40.9/14.0/26.9/13.4/13.5/13.5,2,馬也,C
6,シュートザワークス,津村,08/12,美W,重,助手,84.4/18.3/66.1/15.1/51.0/14.6/36.4/24.9/11.5/11.5,7,強め,B
7,オーラムミーティア,松岡,08/12,栗坂,良,助手,57.2/15.3/41.9/14.9/27.0/14.0/13.0/13.0,,馬也,B
8,マルガリート,小崎,08/12,美坂,重,助手,55.9/14.9/41.0/14.4/26.6/13.5/13.1/13.1,,強め,C
9,ドミナートル,原,08/12,美W,重,助手,84.2/17.6/66.6/15.1/51.5/14.7/36.8/25.7/11.1/11.1,6,馬也,A
$202604020704 新潟4R
1,カフェプラウド,▲水沼,08/12,美W,重,助手,87.5/17.5/70.0/16.1/53.9/15.1/38.8/27.1/11.7/11.7,7,強め,C
2,ホットジュピター,丸田,08/12,美W,重,助手,83.1/15.1/68.0/14.3/53.7/14.0/39.7/26.8/12.9/12.9,6,強め,C
3,モーニンムスメ,◇今村,08/12,美W,重,助手,88.6/15.8/72.8/16.6/56.2/16.1/40.1/28.1/12.0/12.0,7,一杯,D
4,スマートレイナ,川田,08/12,美坂,重,助手,54.2/14.8/39.4/13.4/26.0/12.9/13.1/13.1,1,仕掛,B
5,イナンナ,▲上里,08/12,美W,重,助手,84.8/17.1/67.7/14.9/52.8/14.6/38.2/26.5/11.7/11.7,8,仕掛,D
6,ワンダーバリエンス,柴田大,08/12,美坂,重,柴田大,55.9/16.7/39.2/14.2/25.0/12.5/12.5/12.5,,馬也,B
7,ヴェントベローチェ,三浦,08/12,美W一番時計,重,助手,82.1/17.3/64.8/15.2/49.6/13.7/35.9/24.1/11.8/11.8,2,一杯,C
8,ニンジャトットリ,木幡育,08/12,美坂,重,助手,58.0/17.1/40.9/14.9/26.0/13.2/12.8/12.8,,馬也,B
9,ハンナパール,吉田豊,08/12,美W,重,谷原,86.4/17.0/69.4/16.0/53.4/14.9/38.5/26.4/12.1/12.1,7,強め,B
10,マジギレカレン,▲佐藤,08/12,美坂,重,助手,52.4/14.1/38.3/13.1/25.2/12.6/12.6/12.6,2,一杯,B
11,レオスキーム,木幡巧,08/12,美W,重,助手,84.9/16.7/68.2/15.2/53.0/14.3/38.7/26.6/12.1/12.1,7,馬也,C
