# 列: 馬番,馬名,騎手,追切日,コース,馬場,乗り役,タイム,位置,脚色,調教評価
$202601010705 札幌5R
1,パーフェクトゲーム,横山和,,,,,,,,
2,スピリッツ,▲小林美,,,,,,,,
3,フレンドミラノ,★河原田,,,,,,,,
4,ディンクスマッシュ,☆舟山,,,,,,,,
5,ジオパークカツキ,横山武,,,,,,,,
6,ハミングリップス,▲遠藤,,,,,,,,
7,キャンドル,浜中,,,,,,,,
8,アオイスミレ,菱田,,,,,,,,
9,トスカ,小沢,,,,,,,,
10,スマートライナー,古川吉,,,,,,,,
11,ゲームチェンジャー,原田和,,,,,,,,
12,タワーレイヴン,横山琉,,,,,,,,
$202601010706 札幌6R
1,グローリーバローズ,横山武,08/12,札ダ,良,助手,57.0/15.3/41.7/29.2/12.5/12.5,5,馬也,B
2,タマモパルファン,荻野琢,08/13,札ダ,良,助手,13.2/13.2,5,馬也,C
3,フラワーフェアリー,黛,08/12,札ダ,良,黛,70.1/15.6/54.5/14.5/40.0/27.7/12.3/12.3,8,強め,D
4,ヒャクレツケン,▲遠藤,08/09,美W,良,助手,86.1/18.5/67.6/15.7/51.9/14.6/37.3/25.5/11.8/11.8,4,一杯,D
5,レイナデルアイレ,石川倭,08/12,札ダ,良,助手,74.6/15.6/59.0/14.9/44.1/30.3/13.8/13.8,4,馬也,C
6,ニシノシャルム,◇古川奈,08/12,函W,稍,助手,67.9/13.6/54.3/13.9/40.4/26.5/13.9/13.9,6,強め,C
7,エアヴァイブス,北村友,08/12,函W,稍,助手,71.7/16.3/55.4/15.0/40.4/27.7/12.7/12.7,8,馬也,B
8,エイシンキーンラン,菊沢,08/12,函W,稍,助手,67.1/14.3/52.8/13.7/39.1/27.3/11.8/11.8,4,G強,B
9,シャルムグリーン,横山琉,08/12,函W,稍,助手,69.6/14.7/54.9/15.4/39.5/26.7/12.8/12.8,3,G強,B
10,ショウナンバーボン,▲小林美,08/12,函W,稍,助手,69.9/14.9/55.0/15.4/39.6/27.3/12.3/12.3,5,一杯,B
11,サウンドファミリエ,吉田隼,08/12,札ダ,良,助手,70.8/16.5/54.3/15.1/39.2/26.9/12.3/12.3,7,馬也,B
12,ヤマヤロード,古川吉,08/12,函W,稍,助手,68.8/15.1/53.7/14.0/39.7/26.3/13.4/13.4,5,馬也,C
13,ランウェイミューズ,☆舟山,08/12,札ダ,良,助手,68.8/15.5/53.3/14.1/39.2/27.0/12.2/12.2,6,馬也,C
14,アップターンデイ,菱田,08/12,函W,稍,助手,66.5/14.1/52.4/13.8/38.6/25.8/12.8/12.8,7,一杯,B
$202601010707 札幌7R
1,メリザンド,菊沢,08/12,函W,稍,助手,70.1/15.0/55.1/14.4/40.7/27.3/13.4/13.4,2,馬也,B
2,エリナ,◇古川奈,08/12,札ダ,良,菊沢,69.6/15.6/54.0/13.8/40.2/27.5/12.7/12.7,4,馬也,C
3,ミッキーテネシー,横山武,08/13,函W,重,横山武,71.0/16.7/54.3/14.4/39.9/27.6/12.3/12.3,8,馬也,B
4,アンディムジーク,古川吉,08/12,函W,稍,古川吉,67.3/14.5/52.8/14.4/38.4/25.2/13.2/13.2,5,馬也,B
5,エイカイコバチ,小沢,08/14,,,,,,,B
6,エトワールブーケ,横山和,08/12,札ダ,良,横山和,83.3/14.7/68.6/14.3/54.3/13.7/40.6/28.2/12.4/12.4,9,馬也,B
7,ニシノエピカリ,★河原田,08/12,函W,稍,河原田,69.6/15.0/54.6/13.3/41.3/28.0/13.3/13.3,7,馬也,C
8,ヴァーナリー,☆舟山,08/12,函W,稍,助手,67.0/15.3/51.7/13.5/38.2/25.1/13.1/13.1,7,馬也,B
9,アドマイヤシュラ,佐々木,08/12,函W,稍,佐々木,69.6/15.6/54.0/13.7/40.3/27.5/12.8/12.8,7,馬也,B
10,ドマーネ,浜中,08/12,函W,稍,助手,66.6/14.4/52.2/13.5/38.7/25.7/13.0/13.0,7,馬也,C
11,ディヒターリーベ,石川倭,08/12,札ダ,良,助手,69.5/15.5/54.0/14.6/39.4/27.0/12.4/12.4,9,馬也,B
12,エイトスターズ,▲小林美,08/12,札ダ,良,吉田隼,66.5/15.9/50.6/13.2/37.4/25.1/12.3/12.3,7,馬也,C
13,セットエトワール,☆長浜,08/12,函W,稍,助手,68.2/16.4/51.8/14.5/37.3/24.6/12.7/12.7,7,馬也,B
14,キタノサリスカ,▲和田陽,08/12,札ダ,良,和田陽,65.6/14.3/51.3/12.9/38.4/25.7/12.7/12.7,8,馬也,B
15,ルージュスティーズ,吉田隼,08/12,札ダ,良,助手,68.8/15.6/53.2/14.2/39.0/26.8/12.2/12.2,6,馬也,B
$202601010708 札幌8R
1,フェニーチェドーロ,荻野琢,08/13,函ダ,重,荻野琢,42.5/29.8/12.7/12.7,5,馬也,C
2,カリーン,北村友,08/12,函W,稍,北村友,73.2/16.0/57.2/15.4/41.8/29.1/12.7/12.7,7,馬也,B
3,ザハント,小沢,08/12,函W,稍,小沢,55.8/15.4/40.4/27.5/12.9/12.9,8,G強,B
4,ファンタイムギフト,横山琉,08/12,函W,稍,横山琉,68.8/15.2/53.6/14.2/39.4/26.6/12.8/12.8,7,馬也,C
5,タイセツナヒ,大野,08/12,函W,稍,助手,69.1/14.8/54.3/14.4/39.9/26.7/13.2/13.2,3,馬也,C
6,ビービーバザーク,▲和田陽,08/12,函W,稍,助手,67.2/14.0/53.2/13.1/40.1/26.5/13.6/13.6,5,馬也,B
7,ヒロイックヴァース,横山武,08/12,函W,稍,助手,68.2/14.3/53.9/13.7/40.2/27.6/12.6/12.6,2,馬也,B
8,ハイライトニング,横山和,08/12,函W,稍,助手,66.5/14.0/52.5/13.2/39.3/25.8/13.5/13.5,6,馬也,B
9,ロードアマルフィ,石川倭,08/12,函W,稍,助手,70.7/15.5/55.2/14.2/41.0/27.3/13.7/13.7,8,馬也,B
10,ミスティマウンテン,佐々木,08/12,函W,稍,佐々木,71.3/16.1/55.2/14.6/40.6/27.6/13.0/13.0,8,一杯,C
11,ピースフルワールド,菊沢,08/12,函W,稍,横山琉,70.5/15.4/55.1/15.5/39.6/26.4/13.2/13.2,3,馬也,C
