セル数 52

実データ: 合格 4セル
合格セルのプール: VAL 96.57142857142857% / CONF 49.67741935483871%

セル           nM    探索半分ROI    関門半分ROI  判定
札幌ダM        191     301.9%     139.1%  ★合格
阪神芝M        164     186.8%     128.9%  ★合格
阪神芝S        161     164.8%     104.1%  ★合格
小倉ダM        272     155.2%     102.9%  ★合格
中京芝S        198     107.8%      96.3%  不合格
中山芝M        219     146.1%      95.2%  不合格
福島芝L        228     123.1%      95.1%  不合格
中京ダS        396     123.2%      91.7%  不合格
中山ダL        570     199.9%      90.4%  不合格
東京ダM        380     133.2%      90.1%  不合格
札幌芝L        190     126.6%      89.9%  不合格
京都芝S        142     138.3%      89.6%  不合格
中京芝M        158     115.6%      88.5%  不合格
阪神ダL        469     121.4%      86.7%  不合格
阪神芝L        352     109.2%      86.1%  不合格
新潟芝L        236     156.4%      84.4%  不合格
福島ダM        201     170.7%      84.2%  不合格
中京芝L        288     114.4%      82.8%  不合格
京都ダL        372     178.1%      82.3%  不合格
小倉芝L        346     102.1%      82.2%  不合格
中京ダL        440     132.9%      81.6%  不合格
小倉ダS        120     160.7%      80.8%  不合格
京都ダS        333     113.0%      80.3%  不合格
新潟ダL        255     132.2%      79.2%  不合格
東京ダS        401     107.5%      79.0%  不合格
中山ダS        445     123.6%      76.9%  不合格
東京ダL        150     131.7%      75.9%  不合格
新潟ダS        195     163.5%      75.5%  不合格
福島ダS        131     188.5%      75.3%  不合格
中山芝S        124     246.5%      75.2%  不合格
新潟芝S        201     225.0%      74.7%  不合格
東京芝L        448      99.2%      74.5%  不合格
東京芝S        162     194.8%      73.3%  不合格
中山芝L        401     143.0%      72.7%  不合格
阪神ダS        445     115.7%      71.7%  不合格
小倉芝S        253     150.7%      70.6%  不合格
東京芝M        209     123.0%      70.4%  不合格
京都芝M        132     177.6%      67.9%  不合格
福島芝S        173     134.1%      66.6%  不合格
京都芝L        290     287.5%      63.0%  不合格
小倉ダL         64          —          —  標本不足
新潟芝M         77          —          —  標本不足
函館芝S        118          —          —  標本不足
函館ダM        116          —          —  標本不足
函館ダS         56          —          —  標本不足
函館芝L        119          —          —  標本不足
函館ダL          8          —          —  標本不足
札幌芝M         68          —          —  標本不足
札幌芝S         94          —          —  標本不足
札幌ダS         68          —          —  標本不足
札幌ダL          8          —          —  標本不足
福島ダL          7          —          —  標本不足

null(払戻シャッフル×3・同じ全パイプライン):
  null#1: 合格3セル  VAL 26.42857142857143 / CONF 178.82352941176472
  null#2: 合格2セル  VAL 36.666666666666664 / CONF 58.16326530612245
  null#3: 合格3セル  VAL 53.529411764705884 / CONF 40.714285714285715
