MINE 11644 VAL 874 CONF 676

null control 最良: VAL 3着内 55.4% / CONF 3着内 53.8%
========================================================================================================
分け方                        セル   MINE 3着内     VAL    CONF   VAL複2  CONF複2  判定
芝ダ×距離帯×クラス λ=1             30      52.1%   56.2%   55.3%   83.3%   81.2%  ○
芝ダ×距離帯×クラス 混合50%           30      52.1%   56.3%   55.2%   83.1%   82.0%  ○
芝ダ×距離帯×クラス λ=0.3           30      52.6%   55.7%   55.6%   83.6%   82.1%  ○
場×芝ダ×距離帯 混合50%             52      51.7%   55.3%   55.6%   85.4%   82.1%  ×
芝ダ×距離6段階 λ=0.3             12      51.3%   55.8%   55.0%   83.2%   81.1%  ○
芝ダ×距離6段階 λ=3               12      50.9%   55.4%   55.5%   82.8%   81.5%  ×
場×芝ダ×距離帯 λ=1               52      51.7%   55.5%   55.3%   84.9%   82.4%  ○
芝ダ×距離帯×クラス λ=3             30      51.4%   56.1%   54.7%   83.3%   80.8%  ○
場×芝ダ×距離帯 λ=3               52      51.3%   55.3%   55.5%   84.3%   81.3%  ×
芝ダ×距離帯×頭数 λ=0.3            18      51.8%   55.3%   55.5%   82.0%   82.9%  ×
芝ダ×距離帯×頭数 混合50%            18      51.3%   55.4%   55.3%   83.7%   82.2%  ×
場×クラス 混合50%                50      52.0%   55.4%   55.3%   81.2%   82.1%  ×
コース(120) 混合50%            120      51.9%   55.0%   55.6%   83.4%   81.7%  ×
場×芝ダ×距離帯 λ=0.3             52      52.4%   55.6%   55.0%   85.0%   83.7%  ○
場×距離2段階 混合50%              20      51.1%   55.7%   54.9%   83.8%   83.1%  ○
芝ダ×距離6段階 λ=1               12      51.2%   55.4%   55.2%   82.5%   82.2%  ×
場×距離2段階 λ=1                20      51.0%   55.9%   54.6%   83.1%   82.5%  ○
コース(120) λ=1              120      51.8%   55.1%   55.3%   83.8%   81.7%  ×
芝ダ×距離6段階 混合50%             12      51.3%   55.3%   55.2%   82.3%   82.4%  ×
芝ダ×距離帯×頭数 λ=1              18      51.3%   55.4%   55.0%   83.5%   82.3%  ×
場×距離帯 λ=1                  30      51.2%   55.9%   54.4%   83.4%   81.5%  ○
場×距離2段階 λ=3                20      50.8%   55.7%   54.6%   83.3%   81.8%  ○
距離6段階×頭数 λ=0.3             18      51.2%   55.3%   55.0%   81.7%   82.5%  ×
距離6段階×頭数 混合50%             18      51.2%   55.0%   55.2%   82.3%   82.8%  ×
場×芝ダ 混合50%                 20      51.3%   55.6%   54.6%   81.0%   81.5%  ○
コース(120) λ=3              120      51.3%   55.1%   55.0%   83.1%   81.2%  ×
場×芝ダ λ=0.3                 20      51.4%   56.3%   53.8%   80.7%   82.4%  ×
場×芝ダ λ=3                   20      50.9%   55.4%   54.7%   82.4%   81.8%  ×
VG×距離帯×芝ダ 混合50%            21      51.5%   55.4%   54.7%   83.7%   82.6%  ×
距離6段階×頭数 λ=1               18      51.0%   55.5%   54.6%   82.4%   82.3%  ○
場×クラス λ=1                  50      51.4%   55.1%   54.9%   79.3%   82.6%  ×
場×距離帯 λ=3                  30      51.0%   55.6%   54.3%   83.2%   80.7%  ○
距離6段階×頭数 λ=3               18      50.7%   55.6%   54.3%   81.4%   82.4%  ○
場×クラス λ=0.3                50      52.0%   54.8%   55.0%   81.5%   80.8%  ×
場×距離2段階 λ=0.3              20      51.5%   55.9%   53.8%   82.6%   83.6%  ×
場×芝ダ λ=1                   20      51.1%   55.0%   54.7%   80.9%   81.5%  ×
VG×距離帯×芝ダ λ=1              21      51.4%   55.1%   54.6%   83.4%   82.0%  ×
VG×距離帯×芝ダ λ=0.3            21      51.8%   55.0%   54.6%   82.1%   82.5%  ×
VG×距離帯×芝ダ λ=3              21      51.2%   55.0%   54.6%   83.1%   81.4%  ×
①6群(現行)                     6      50.9%   55.0%   54.4%   83.3%   81.0%  ×
芝ダ×距離帯×頭数 λ=3              18      50.9%   54.7%   54.7%   83.4%   81.8%  ×
場×距離帯 混合50%                30      51.3%   55.3%   54.1%   83.8%   82.2%  ×
null30 λ=1                 30      50.8%   55.4%   53.7%   82.7%   81.3%  null
コース(120) λ=0.3            120      52.8%   54.9%   54.1%   84.0%   83.8%  ×
null30 λ=0.3               30      51.5%   55.1%   53.8%   83.1%   82.6%  null
場×距離帯 λ=0.3                30      52.0%   55.1%   53.1%   82.2%   82.9%  ×
場×クラス λ=3                  50      50.7%   55.3%   53.0%   78.7%   82.8%  ×

saved split30.json
