null最良: VAL 55.8% / CONF 55.9%
================================================================================================
構成                             セル     MINE     VAL    CONF   VAL複2  CONF複2  判定
30+コース(120) 混合30%             120    52.7%   56.9%   56.8%   83.4%   83.7%  ○
30+コース(120) 混合50%             120    52.8%   57.0%   56.5%   83.5%   83.2%  ○
30+場×芝ダ×距離帯(52) 混合50%          52    52.5%   56.5%   57.0%   85.3%   84.0%  ○
30+場×芝ダ×距離帯(52) 混合30%          52    52.5%   56.2%   57.1%   84.0%   84.3%  ○
30+VG×距離帯×クラス(60) 混合50%        60    53.4%   56.6%   55.8%   83.6%   82.0%  ×
30+VG×距離帯×クラス(60) 混合30%        60    53.0%   56.5%   55.8%   84.0%   82.3%  ×
30+芝ダ×距離6段×クラス(60) 混合30%       60    53.2%   56.2%   56.1%   84.7%   83.4%  ○
30+芝ダ×距離6段×クラス(60) 混合50%       60    53.1%   56.2%   55.6%   85.0%   82.5%  ×
null60セル 混合50%                 60    52.2%   55.8%   55.9%   83.0%   80.5%  null
30+場×芝ダ×クラス(100) 混合30%         99    53.0%   55.6%   56.1%   85.5%   81.2%  ×
②30分割(30)                      30    52.6%   55.7%   55.6%   83.6%   82.1%  ×
30+場×距離帯×クラス(150) 混合30%       149    53.0%   55.9%   55.0%   84.2%   80.8%  ×
30+場×距離帯×クラス(150) 混合50%       149    53.4%   55.8%   54.7%   84.9%   80.7%  ×
30+場×芝ダ×クラス(100) 混合50%         99    53.5%   54.9%   55.6%   84.5%   81.2%  ×
null120セル 混合50%               120    53.0%   55.6%   54.6%   84.0%   80.5%  null
