手の総数: 240000

役                      ドロー                 出現率       平均勝率
ストレート以上                ドローなし             0.75%      93.4%
スリーカード                 ドローなし             2.10%      87.3%
トップペア                  フラッシュドロー          0.25%      83.0%
オーバーペア                 ドローなし             0.98%      79.1%
トップペア                  ドローなし             7.67%      78.4%
ツーペア                   ドローなし             4.74%      77.0%
ミドルペア                  フラッシュドロー          0.25%      76.7%
トップペア                  オープンエンド           0.10%      75.2%
トップペア                  ガットショット           0.35%      74.4%
ボトムペア                  フラッシュドロー          0.24%      70.2%
ミドルペア                  オープンエンド           0.09%      70.2%
ミドルペア                  ガットショット           0.37%      68.1%
ミドルペア                  ドローなし             7.67%      67.8%
ポケット(場札より下)            フラッシュドロー          0.09%      65.5%
ボトムペア                  オープンエンド           0.10%      64.7%
ポケット(場札より下)            ガットショット           0.13%      63.4%
ボトムペア                  ガットショット           0.36%      62.2%
ノーペア                   複合ドロー             0.67%      59.8%
ポケット(場札より下)            ドローなし             2.91%      59.0%
ボトムペア                  ドローなし             7.65%      57.2%
ノーペア                   フラッシュドロー          2.68%      55.3%
ノーペア                   オープンエンド           2.80%      47.7%
ノーペア                   ガットショット           8.17%      41.7%
ノーペア                   ドローなし            48.70%      35.4%
